               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,             0.02115,             0.01312,          0.00095635,              0.8978,             0.94713,             0.97721,             0.79117,            0.018451,            0.012036,          0.00090009,            0.006898,            0.006898,            0.006898
                  49,            0.021334,            0.013012,           0.0010648,             0.86146,             0.93062,             0.97224,             0.77533,             0.01723,            0.011434,            0.001076,            0.006832,            0.006832,            0.006832
                  50,            0.020768,            0.012741,           0.0010051,             0.92359,             0.89687,             0.97094,             0.79662,            0.017191,            0.011839,           0.0011671,            0.006766,            0.006766,            0.006766
                  51,            0.020031,            0.012991,          0.00081121,             0.89595,             0.90319,             0.96616,             0.76252,            0.019246,            0.013771,           0.0010108,              0.0067,              0.0067,              0.0067
                  52,            0.020655,            0.012449,          0.00087533,             0.94603,             0.89141,             0.97844,             0.79357,            0.018119,            0.012948,          0.00092362,            0.006634,            0.006634,            0.006634
                  53,            0.020037,            0.012485,          0.00096071,             0.87204,             0.97754,             0.96877,             0.77551,            0.017141,            0.011813,           0.0010681,            0.006568,            0.006568,            0.006568
                  54,            0.019518,            0.012188,          0.00089354,             0.89798,             0.91421,             0.97214,             0.76916,            0.016622,            0.011985,           0.0010133,            0.006502,            0.006502,            0.006502
                  55,            0.019785,            0.012429,          0.00083244,              0.9077,             0.90039,             0.96372,             0.78401,            0.016582,             0.01227,           0.0010108,            0.006436,            0.006436,            0.006436
                  56,            0.019932,            0.013184,          0.00099849,             0.91279,             0.89978,             0.96804,             0.77348,            0.017168,            0.011769,            0.001044,             0.00637,             0.00637,             0.00637
                  57,            0.020073,            0.012447,          0.00085081,             0.93261,             0.91551,             0.96234,             0.76375,            0.017064,            0.011764,          0.00098985,            0.006304,            0.006304,            0.006304
                  58,            0.019409,            0.012704,          0.00088248,             0.89752,             0.94333,             0.95983,             0.77271,            0.017824,             0.01213,          0.00089911,            0.006238,            0.006238,            0.006238
                  59,            0.019774,            0.012637,           0.0007975,             0.91066,             0.94532,             0.96577,             0.79893,             0.01591,            0.011533,          0.00093315,            0.006172,            0.006172,            0.006172
                  60,            0.019373,            0.012221,          0.00081192,             0.91945,             0.94308,             0.97474,             0.80575,            0.016701,            0.011739,           0.0009371,            0.006106,            0.006106,            0.006106
                  61,            0.019585,            0.012639,          0.00071358,              0.9352,             0.92127,             0.97029,             0.76332,            0.017431,            0.012322,          0.00097953,             0.00604,             0.00604,             0.00604
                  62,            0.018866,            0.011997,          0.00079027,             0.92499,             0.96049,             0.97899,             0.79861,            0.016899,            0.012039,          0.00083704,            0.005974,            0.005974,            0.005974
                  63,            0.018894,            0.012211,          0.00069213,             0.94745,             0.96084,             0.98266,              0.8007,            0.015977,            0.011227,          0.00093946,            0.005908,            0.005908,            0.005908
                  64,            0.018918,            0.012317,          0.00071032,             0.88708,             0.94798,             0.97186,             0.78867,            0.016468,            0.012156,           0.0011864,            0.005842,            0.005842,            0.005842
                  65,            0.018439,            0.012216,           0.0009586,             0.84685,             0.98103,             0.97674,              0.7886,            0.016239,            0.011434,          0.00081393,            0.005776,            0.005776,            0.005776
                  66,            0.018322,            0.012011,          0.00091825,              0.9114,             0.86797,             0.96119,             0.79839,            0.016504,            0.012299,          0.00095929,             0.00571,             0.00571,             0.00571
                  67,            0.018061,            0.011814,          0.00078741,             0.92221,             0.91989,             0.96211,             0.79072,            0.016533,             0.01159,          0.00097334,            0.005644,            0.005644,            0.005644
                  68,            0.018738,            0.012396,          0.00094163,             0.86964,             0.92293,             0.94665,             0.76436,            0.016048,            0.011594,           0.0016304,            0.005578,            0.005578,            0.005578
                  69,            0.018432,            0.012151,          0.00076771,             0.85775,             0.96196,             0.95587,             0.79038,            0.016757,            0.011489,          0.00092582,            0.005512,            0.005512,            0.005512
                  70,            0.017776,            0.012105,          0.00078882,             0.89396,             0.95896,             0.96397,             0.79402,            0.016092,            0.011069,          0.00090439,            0.005446,            0.005446,            0.005446
                  71,             0.01778,            0.011968,          0.00080025,             0.92106,             0.91943,             0.97604,             0.78066,            0.015996,            0.011218,          0.00091748,             0.00538,             0.00538,             0.00538
                  72,            0.018297,            0.012225,          0.00066637,             0.89245,             0.98244,             0.97798,             0.81524,            0.015505,             0.01126,          0.00089965,            0.005314,            0.005314,            0.005314
                  73,            0.018225,            0.011625,          0.00056941,             0.90603,             0.97643,              0.9756,             0.80511,            0.016092,             0.01103,          0.00087045,            0.005248,            0.005248,            0.005248
                  74,            0.017631,            0.011724,          0.00073112,             0.97856,             0.89227,             0.97968,             0.81251,            0.015975,            0.010968,           0.0010038,            0.005182,            0.005182,            0.005182
                  75,             0.01705,            0.011361,          0.00060916,              0.9577,             0.93038,             0.97633,              0.8072,            0.015595,            0.011024,          0.00087471,            0.005116,            0.005116,            0.005116
                  76,            0.017498,            0.011576,          0.00070943,             0.96313,             0.88003,              0.9729,             0.80526,            0.016124,            0.011422,          0.00088838,             0.00505,             0.00505,             0.00505
                  77,            0.017061,            0.011729,          0.00059863,             0.87966,             0.95701,             0.97114,             0.79205,            0.015217,            0.011054,           0.0008718,            0.004984,            0.004984,            0.004984
                  78,            0.016835,            0.011507,          0.00060469,             0.93569,             0.84662,             0.95451,             0.79287,            0.015479,            0.011371,           0.0010386,            0.004918,            0.004918,            0.004918
                  79,            0.016986,            0.011462,          0.00074533,              0.8529,             0.96249,              0.9582,             0.78852,            0.015961,            0.011044,          0.00080153,            0.004852,            0.004852,            0.004852
                  80,            0.016749,            0.011513,           0.0006471,             0.85745,             0.96341,             0.96993,             0.81696,            0.014772,            0.011008,           0.0008586,            0.004786,            0.004786,            0.004786
                  81,            0.016461,            0.011274,          0.00056833,             0.87205,             0.90964,             0.95392,             0.79424,              0.0155,            0.010969,           0.0011193,             0.00472,             0.00472,             0.00472
                  82,            0.016613,             0.01202,          0.00054107,             0.85705,             0.95694,              0.9642,             0.79422,            0.015077,            0.011111,          0.00089885,            0.004654,            0.004654,            0.004654
                  83,            0.015779,            0.010941,          0.00059918,             0.90842,             0.94592,             0.96452,              0.7822,            0.015524,            0.011387,          0.00083266,            0.004588,            0.004588,            0.004588
                  84,            0.016523,            0.011147,          0.00056578,             0.85918,             0.97947,             0.96447,             0.79897,            0.015926,            0.011317,          0.00082703,            0.004522,            0.004522,            0.004522
                  85,            0.015505,            0.010624,          0.00057864,             0.92402,             0.91815,              0.9706,             0.81604,            0.015154,            0.010917,          0.00083811,            0.004456,            0.004456,            0.004456
                  86,            0.015884,            0.010783,          0.00046361,             0.92022,             0.94998,              0.9678,             0.80765,            0.015511,            0.010993,           0.0007985,             0.00439,             0.00439,             0.00439
                  87,            0.015546,            0.011112,          0.00058376,               0.931,             0.93218,             0.96834,              0.7995,             0.01501,             0.01099,          0.00091135,            0.004324,            0.004324,            0.004324
                  88,            0.015544,            0.011057,           0.0005597,             0.87915,              0.9644,             0.95894,             0.79134,            0.015347,            0.011169,          0.00089645,            0.004258,            0.004258,            0.004258
                  89,            0.015879,            0.011057,          0.00046378,             0.93262,             0.89449,             0.96259,             0.80716,            0.014632,            0.010884,          0.00088801,            0.004192,            0.004192,            0.004192
                  90,            0.015315,            0.010758,          0.00046057,             0.89506,             0.95324,             0.96958,             0.81311,            0.015003,             0.01091,          0.00088399,            0.004126,            0.004126,            0.004126
                  91,            0.015482,            0.010958,            0.000495,             0.91246,             0.93894,             0.96741,             0.80499,             0.01452,            0.010656,          0.00095914,             0.00406,             0.00406,             0.00406
                  92,            0.015239,             0.01092,          0.00052131,             0.90843,             0.93671,             0.97227,             0.80712,            0.015127,            0.011231,           0.0008767,            0.003994,            0.003994,            0.003994
                  93,            0.015719,            0.010664,          0.00041383,             0.93872,             0.89411,             0.96818,             0.79621,            0.015055,            0.010868,          0.00087008,            0.003928,            0.003928,            0.003928
                  94,            0.015443,            0.010854,           0.0005638,             0.90169,             0.93747,             0.95507,             0.79513,            0.014749,            0.011077,          0.00082373,            0.003862,            0.003862,            0.003862
                  95,            0.015585,            0.010872,          0.00048102,              0.9173,             0.95131,             0.96274,             0.79766,            0.014704,            0.010642,          0.00074387,            0.003796,            0.003796,            0.003796
                  96,            0.015069,            0.011034,           0.0005935,             0.92172,             0.92476,             0.96613,             0.79525,            0.014912,            0.010777,           0.0008848,             0.00373,             0.00373,             0.00373
                  97,            0.015256,            0.010438,          0.00052479,             0.85792,             0.91054,             0.95508,             0.79598,            0.015058,            0.011216,            0.001126,            0.003664,            0.003664,            0.003664
                  98,            0.014486,            0.010477,          0.00052199,             0.92417,             0.89481,             0.95791,             0.80664,            0.015045,            0.011663,           0.0011106,            0.003598,            0.003598,            0.003598
                  99,            0.014774,             0.01046,          0.00037563,             0.94803,             0.88099,             0.97244,             0.80919,            0.014723,            0.010863,           0.0009069,            0.003532,            0.003532,            0.003532
                 100,            0.015372,            0.010564,          0.00045845,             0.92163,             0.91694,             0.96888,             0.80042,            0.014839,              0.0109,          0.00097539,            0.003466,            0.003466,            0.003466
                 101,            0.014939,            0.010758,          0.00057132,             0.94429,             0.89815,             0.95747,             0.80726,            0.014771,            0.011335,           0.0010945,              0.0034,              0.0034,              0.0034
                 102,            0.014559,            0.010238,          0.00045228,             0.93491,             0.90368,             0.95671,             0.79566,            0.014998,            0.011456,           0.0010156,            0.003334,            0.003334,            0.003334
                 103,            0.014102,            0.010242,          0.00047392,             0.89193,             0.95353,             0.96338,             0.81093,            0.014545,            0.010555,          0.00088638,            0.003268,            0.003268,            0.003268
                 104,            0.014859,            0.010373,          0.00039624,              0.8865,             0.93283,             0.96693,             0.81095,            0.014811,            0.010695,          0.00098061,            0.003202,            0.003202,            0.003202
                 105,            0.014558,            0.010278,          0.00037414,             0.94435,             0.90296,             0.97164,             0.80275,            0.014886,            0.011365,           0.0010368,            0.003136,            0.003136,            0.003136
                 106,            0.014621,            0.010685,          0.00035001,             0.91083,             0.92682,             0.97362,             0.81505,            0.014669,            0.011479,           0.0010536,             0.00307,             0.00307,             0.00307
                 107,            0.014338,            0.010332,          0.00033918,             0.90971,             0.94046,             0.97329,             0.81386,            0.014258,            0.011024,           0.0011096,            0.003004,            0.003004,            0.003004
                 108,             0.01399,            0.010305,          0.00035449,             0.91173,             0.93421,             0.96986,             0.80429,            0.014646,            0.011203,           0.0011657,            0.002938,            0.002938,            0.002938
                 109,            0.014383,            0.010017,          0.00042041,             0.90602,             0.94496,             0.97501,             0.81431,            0.014479,            0.011051,           0.0010244,            0.002872,            0.002872,            0.002872
                 110,            0.013974,           0.0099921,          0.00036815,             0.92208,             0.92187,             0.97218,             0.81216,            0.014465,            0.010784,           0.0010064,            0.002806,            0.002806,            0.002806
                 111,            0.014131,            0.010029,          0.00031549,             0.91923,             0.93873,             0.97371,             0.82452,            0.014478,            0.010829,          0.00094751,             0.00274,             0.00274,             0.00274
                 112,             0.01391,            0.010015,          0.00037722,             0.94737,             0.92082,              0.9722,             0.80595,            0.014419,            0.010725,           0.0010005,            0.002674,            0.002674,            0.002674
                 113,            0.014031,            0.010026,           0.0004393,             0.92164,             0.95068,              0.9694,             0.81111,            0.014561,            0.011254,          0.00092153,            0.002608,            0.002608,            0.002608
                 114,             0.01369,            0.010319,           0.0003322,             0.91229,             0.93236,             0.96919,             0.79356,             0.01458,            0.011197,           0.0012105,            0.002542,            0.002542,            0.002542
                 115,            0.013735,            0.010562,          0.00035641,             0.92057,             0.93052,             0.96633,             0.79687,            0.014952,            0.011366,           0.0011776,            0.002476,            0.002476,            0.002476
                 116,            0.013743,            0.010253,          0.00034161,             0.90831,             0.97505,             0.97511,             0.82045,            0.014411,            0.010875,          0.00074238,             0.00241,             0.00241,             0.00241
                 117,            0.013517,            0.010052,          0.00045215,             0.89855,             0.97967,             0.97507,             0.80999,            0.014211,            0.010926,          0.00070964,            0.002344,            0.002344,            0.002344
                 118,            0.013353,           0.0097849,          0.00029193,             0.90512,             0.98104,             0.97552,             0.82549,            0.014412,            0.010817,          0.00076375,            0.002278,            0.002278,            0.002278
                 119,            0.013263,           0.0098512,           0.0004112,             0.90227,             0.97207,             0.97556,             0.82195,            0.014228,            0.010504,          0.00088718,            0.002212,            0.002212,            0.002212
                 120,            0.013343,           0.0096252,          0.00027268,             0.90724,             0.96011,             0.96969,             0.81237,            0.014592,            0.011306,           0.0011056,            0.002146,            0.002146,            0.002146
                 121,            0.013309,            0.010087,          0.00021457,             0.88139,             0.96618,             0.96949,             0.80597,            0.014342,            0.011206,           0.0013354,             0.00208,             0.00208,             0.00208
                 122,            0.013183,           0.0097532,          0.00031529,             0.92771,             0.96863,             0.97722,             0.82372,            0.014054,            0.010684,          0.00074409,            0.002014,            0.002014,            0.002014
                 123,            0.013237,           0.0098394,          0.00041839,             0.88236,             0.95751,             0.96764,             0.80994,            0.014162,            0.010895,          0.00096218,            0.001948,            0.001948,            0.001948
                 124,            0.013212,           0.0098725,          0.00026643,             0.92058,             0.95232,             0.97666,             0.82511,            0.014345,            0.011005,          0.00092329,            0.001882,            0.001882,            0.001882
                 125,            0.013454,           0.0098344,          0.00029081,             0.91712,             0.95324,             0.97527,             0.82592,            0.014256,            0.010799,          0.00099405,            0.001816,            0.001816,            0.001816
                 126,            0.013266,           0.0094821,          0.00026569,             0.90284,             0.96134,             0.97307,              0.8177,            0.014284,            0.011082,             0.00105,             0.00175,             0.00175,             0.00175
                 127,            0.012856,           0.0098714,          0.00027562,             0.90927,             0.95526,             0.97774,             0.82513,            0.014093,             0.01071,          0.00089086,            0.001684,            0.001684,            0.001684
                 128,            0.013218,            0.010093,          0.00026734,             0.91523,             0.94692,             0.97618,             0.81924,            0.013999,            0.010662,          0.00086506,            0.001618,            0.001618,            0.001618
                 129,             0.01283,           0.0093794,          0.00027838,             0.88832,             0.95818,             0.97193,             0.81536,            0.014289,            0.010868,          0.00089355,            0.001552,            0.001552,            0.001552
                 130,            0.012947,           0.0095371,          0.00029131,             0.92401,             0.95079,             0.97238,             0.81752,            0.014201,            0.010604,          0.00090456,            0.001486,            0.001486,            0.001486
                 131,            0.013073,           0.0098043,          0.00025141,             0.91679,             0.95509,             0.97399,             0.81911,            0.014252,            0.010939,          0.00095237,             0.00142,             0.00142,             0.00142
                 132,             0.01289,            0.010031,          0.00025886,             0.90776,             0.95971,             0.97358,             0.82198,            0.014031,            0.010719,           0.0010191,            0.001354,            0.001354,            0.001354
                 133,            0.012895,           0.0095589,          0.00028113,             0.88908,             0.95971,             0.97039,             0.82023,            0.013997,              0.0107,           0.0010319,            0.001288,            0.001288,            0.001288
                 134,            0.012928,           0.0097935,          0.00030613,             0.90824,             0.93145,             0.96723,             0.81289,            0.014044,            0.010877,           0.0011348,            0.001222,            0.001222,            0.001222
                 135,            0.012719,           0.0095044,          0.00022466,             0.90959,             0.95001,             0.96767,             0.83082,            0.013982,            0.010823,           0.0011148,            0.001156,            0.001156,            0.001156
                 136,            0.012638,           0.0094545,          0.00022811,             0.89394,             0.95232,             0.96576,             0.82656,            0.014299,            0.010962,           0.0011227,             0.00109,             0.00109,             0.00109
                 137,            0.012574,           0.0097557,          0.00027519,             0.88731,             0.95811,             0.96551,             0.81848,            0.014211,            0.010956,           0.0010939,            0.001024,            0.001024,            0.001024
                 138,            0.012847,           0.0093876,          0.00025691,             0.88977,             0.94207,             0.96354,             0.81519,            0.013895,            0.010789,           0.0011486,            0.000958,            0.000958,            0.000958
                 139,            0.012721,            0.009575,          0.00024846,             0.88301,              0.9585,             0.96558,             0.81354,            0.014222,            0.010975,           0.0011365,            0.000892,            0.000892,            0.000892
                 140,            0.012881,           0.0092863,           0.0002146,             0.87838,             0.96433,              0.9626,             0.81361,            0.013937,            0.010792,           0.0012206,            0.000826,            0.000826,            0.000826
                 141,            0.012575,           0.0090906,          0.00030544,             0.88168,             0.95982,             0.96467,             0.81353,            0.014034,            0.010753,           0.0012074,             0.00076,             0.00076,             0.00076
                 142,            0.012709,           0.0095546,          0.00018552,             0.89369,             0.95879,             0.96726,               0.812,            0.013957,            0.010622,           0.0011407,            0.000694,            0.000694,            0.000694
                 143,             0.01278,           0.0095836,          0.00023039,             0.89351,             0.96341,             0.96568,             0.82173,            0.013788,            0.010544,           0.0011347,            0.000628,            0.000628,            0.000628
                 144,            0.012338,           0.0093431,          0.00019879,             0.89447,             0.96105,              0.9673,             0.81893,            0.013906,            0.010588,            0.001114,            0.000562,            0.000562,            0.000562
                 145,            0.012329,           0.0093157,          0.00022733,              0.8873,             0.95891,             0.96943,             0.82325,             0.01389,            0.010586,           0.0011221,            0.000496,            0.000496,            0.000496
                 146,            0.012736,           0.0095755,          0.00023307,             0.89007,              0.9586,             0.96627,             0.82119,            0.014019,            0.010728,           0.0010926,             0.00043,             0.00043,             0.00043
                 147,            0.012482,           0.0091161,           0.0002447,             0.91644,             0.92668,             0.96731,             0.81855,            0.013952,            0.010705,           0.0011424,            0.000364,            0.000364,            0.000364
                 148,            0.012382,           0.0090918,          0.00021503,             0.91432,             0.93069,             0.96927,             0.81653,            0.013892,            0.010757,           0.0011491,            0.000298,            0.000298,            0.000298
                 149,            0.012578,           0.0093411,          0.00022288,             0.91441,             0.93318,             0.96955,             0.81799,            0.013848,            0.010742,           0.0011403,            0.000232,            0.000232,            0.000232
